Date,Manufacturer,ManufacturerID,ProductID,Score,State,StateID,zip
2013-07-01 00:00:00,Abbas,1,1,31,AK,1,00001
2013-07-01 00:00:00,Abbas,1,2,46,AL,2,35004
2013-07-01 00:00:00,Abbas,1,2,53,AR,2,71601
2013-07-01 00:00:00,Abbas,1,1,21,AZ,1,00014
2013-07-01 00:00:00,Abbas,1,2,58,CO,2,00027
2013-07-01 00:00:00,Abbas,1,1,29,CT,1,06001
2013-07-01 00:00:00,Abbas,1,3,72,DC,3,20001
2013-07-01 00:00:00,Abbas,1,3,69,DE,3,19701
2013-07-01 00:00:00,Abbas,1,5,139,FL,5,00041
2013-07-01 00:00:00,Abbas,1,4,142,IA,4,50001
2013-07-01 00:00:00,Abbas,1,2,85,IL,2,62356
2013-07-01 00:00:00,Abbas,1,2,71,IN,2,46001
2013-07-01 00:00:00,Abbas,1,5,82,KS,5,66002
2013-07-01 00:00:00,Abbas,1,1,24,KY,1,40003
2013-07-01 00:00:00,Abbas,1,1,26,MA,1,00158
2013-07-01 00:00:00,Abbas,1,3,223,MD,3,20058
2013-07-01 00:00:00,Abbas,1,1,81,MI,1,48001
2013-07-01 00:00:00,Abbas,1,2,148,MN,2,00059
2013-07-01 00:00:00,Abbas,1,2,150,MO,2,63005
2013-07-01 00:00:00,Abbas,1,2,139,MT,2,00063
2013-07-01 00:00:00,Abbas,1,3,243,NC,3,00084
2013-07-01 00:00:00,Abbas,1,2,146,NE,2,68001
2013-07-01 00:00:00,Abbas,1,1,83,NH,1,03033
2013-07-01 00:00:00,Abbas,1,3,197,NJ,3,07001
2013-07-01 00:00:00,Abbas,1,3,249,NM,3,00064
2013-07-01 00:00:00,Abbas,1,2,128,NV,2,88901
2013-07-01 00:00:00,Abbas,1,3,217,NY,3,00501
2013-07-01 00:00:00,Abbas,1,1,73,OH,1,43001
2013-07-01 00:00:00,Abbas,1,3,217,OK,3,00067
2013-07-01 00:00:00,Abbas,1,2,152,OR,2,00068
2013-07-01 00:00:00,Abbas,1,2,173,PA,2,15937
2013-07-01 00:00:00,Abbas,1,3,214,RI,3,02801
2013-07-01 00:00:00,Abbas,1,3,243,SC,3,29001
2013-07-01 00:00:00,Abbas,1,3,221,SD,3,57001
2013-07-01 00:00:00,Abbas,1,4,249,TN,4,42223
2013-07-01 00:00:00,Abbas,1,1,71,TX,1,00188
2013-07-01 00:00:00,Abbas,1,2,159,UT,2,00071
2013-07-01 00:00:00,Abbas,1,2,141,VA,2,20041
2013-07-01 00:00:00,Abbas,1,1,73,VT,1,05101
2013-07-01 00:00:00,Abbas,1,4,334,WA,4,00072
2013-07-01 00:00:00,Abbas,1,3,213,WI,3,53001
2013-07-01 00:00:00,Abbas,1,1,68,WV,1,24701
2013-07-01 00:00:00,Aliqui,2,2,35,AK,2,00001
2013-07-01 00:00:00,Aliqui,2,1,47,AR,1,71601
2013-07-01 00:00:00,Aliqui,2,2,78,AZ,2,00014
2013-07-01 00:00:00,Aliqui,2,2,80,CA,2,00012
2013-07-01 00:00:00,Aliqui,2,2,72,CO,2,00027
2013-07-01 00:00:00,Aliqui,2,2,64,CT,2,06001
2013-07-01 00:00:00,Aliqui,2,3,81,DC,3,20001
2013-07-01 00:00:00,Aliqui,2,2,63,DE,2,19701
2013-07-01 00:00:00,Aliqui,2,3,84,FL,3,00041
2013-07-01 00:00:00,Aliqui,2,1,43,GA,1,39813
2013-07-01 00:00:00,Aliqui,2,1,32,IA,1,50001
2013-07-01 00:00:00,Aliqui,2,2,46,ID,2,00056
2013-07-01 00:00:00,Aliqui,2,2,40,IL,2,62356
2013-07-01 00:00:00,Aliqui,2,3,101,IN,3,46001
2013-07-01 00:00:00,Aliqui,2,1,30,KS,1,66002
2013-07-01 00:00:00,Aliqui,2,1,36,KY,1,40003
2013-07-01 00:00:00,Aliqui,2,3,92,LA,3,00116
2013-07-01 00:00:00,Aliqui,2,1,78,MD,1,20058
2013-07-01 00:00:00,Aliqui,2,1,85,MI,1,48001
2013-07-01 00:00:00,Aliqui,2,2,164,MN,2,00059
2013-07-01 00:00:00,Aliqui,2,1,81,MO,1,63005
2013-07-01 00:00:00,Aliqui,2,1,78,MT,1,00063
2013-07-01 00:00:00,Aliqui,2,3,218,NC,3,00084
2013-07-01 00:00:00,Aliqui,2,2,133,ND,2,58001
2013-07-01 00:00:00,Aliqui,2,1,83,NE,1,68001
2013-07-01 00:00:00,Aliqui,2,2,160,NH,2,03033
2013-07-01 00:00:00,Aliqui,2,3,213,NJ,3,07001
2013-07-01 00:00:00,Aliqui,2,1,78,NM,1,00064
2013-07-01 00:00:00,Aliqui,2,6,441,NV,6,88901
2013-07-01 00:00:00,Aliqui,2,2,157,NY,2,00501
2013-07-01 00:00:00,Aliqui,2,1,88,OH,1,43001
2013-07-01 00:00:00,Aliqui,2,2,158,OK,2,00067
2013-07-01 00:00:00,Aliqui,2,1,88,OR,1,00068
2013-07-01 00:00:00,Aliqui,2,2,167,PA,2,15937
2013-07-01 00:00:00,Aliqui,2,1,88,RI,1,02801
2013-07-01 00:00:00,Aliqui,2,1,77,SC,1,29001
2013-07-01 00:00:00,Aliqui,2,3,245,TN,3,42223
2013-07-01 00:00:00,Aliqui,2,2,143,TX,2,00188
2013-07-01 00:00:00,Aliqui,2,4,291,UT,4,00071
2013-07-01 00:00:00,Aliqui,2,3,214,VA,3,20041
2013-07-01 00:00:00,Aliqui,2,1,83,VT,1,05101
2013-07-01 00:00:00,Aliqui,2,1,87,WI,1,53001
2013-07-01 00:00:00,Aliqui,2,2,147,WV,2,24701
2013-07-01 00:00:00,Aliqui,2,1,65,WY,1,82001
2013-07-01 00:00:00,Barba,3,2,83,AL,2,35004
2013-07-01 00:00:00,Barba,3,1,43,AR,1,71601
2013-07-01 00:00:00,Barba,3,1,13,AZ,1,00014
2013-07-01 00:00:00,Barba,3,2,45,CA,2,00012
2013-07-01 00:00:00,Barba,3,1,28,CO,1,00027
2013-07-01 00:00:00,Barba,3,1,30,CT,1,06001
2013-07-01 00:00:00,Barba,3,2,84,DC,2,20001
2013-07-01 00:00:00,Barba,3,2,53,DE,2,19701
2013-07-01 00:00:00,Barba,3,2,62,FL,2,00041
2013-07-01 00:00:00,Barba,3,2,67,GA,2,39813
2013-07-01 00:00:00,Barba,3,4,82,IA,4,50001
2013-07-01 00:00:00,Barba,3,2,51,ID,2,00056
